model;description
0118;Vintage handwoven decorative striped kilim rug from Denizli region of Turkey. It is originaly 3 parts. In good condition.
0120;Handwoven vintage naturel striped kilim rug from Malatya region of Turkey. In very good condition. Approximately 45-55 years old.
0122;Vintage striped handwoven colourful kilim rug from Malatya region of Turkey. In good condition. Approximately 45-55 years old.
0123;Vintage handwoven striped modern kilim rug from Malatya region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0124;Vintage handwoven striped kilim rug from Malatya region of Turkey. In good condition. Approximately 50-60 years old.
0125;Handwoven vintage striped colourful kilim rug from Malatya region of Turkey. In good condition. Approximately 40-50 years old.
0126;Vintage striped handwoven kilim rug from Malatya region of Turkey. In good condition. Approximately 40-50 years old.
0127;Handwoven vintage striped colourful kilim rug from Malatya region of Turkey. In good condition. Approximately 40-50 years old.
0128;Handwoven vintage decorative striped kilim rug from Malatya region of Turkey. In good condition. Approximately 50-60 years old.
0129;Vintage handwoven striped kilim rug from Denizli region of Turkey. In good condition. Approximately 40-50 years old.
0131;Vintage handwoven striped kilim rug from Adana region of Turkey. in good condition. Approximately 40-50 years old.
0134;Handwoven vintage embroidered kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0138;Vintage handwoven colourful embroidered kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0139;Handwoven vintage embroidered kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0140;Vintage decorative striped kilim rug from Denizli region of Turkey. In very good condition. Approximately 40-50 years old.
0141;Vintage handwoven decorative rag rug (chaput) From Adana region of Turkey. In very good condition. Approximately 35-45 years old Rare find, Unique handmade item.
0146;Handwoven vintage decorative rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0147;Vintage handwoven decorative rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0148;Handwoven vintage colourful rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0151;Handwoven vintage decorative rag rug from Adana region of Turkey. In very good condition. Approximately 25-35 years old.
0152;Handwoven vintage rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0154;Handwoven vintage striped rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0156;Handwoven vintage decorative rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0157;Vintage handwoven decorative rag rug from Adana region of Turkey. In good condition. Approximately 35-45 years old.
0158;Handwoven vintage decorative striped rag rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0160;Decorative vintage Hand knotted rug from Kars region of Turkey. In very good condition. Approximately 50-60 years old.
0164;Oversize naturel patchwork rug made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In good condition Rare find, Unique handmade item. Only 1 in stock.
0165;Decorative colourful kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0166;Vintage modern patchwork made from handwoven Turkish kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0168;Oversize vintage patchwork rug made from hand-knotted Turkish rug pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0169;Oversize vintage patchwork rug made from hand-knotted Turkish rug pieces and backed with quality cotton fabric as reinforcement. In very good condition Rare find, Unique handmade item. Only 1 in stock.
0178;Vintage hand-woven striped kilim rug from Konya region of Turkey. In good condition. Approximately 40-50 years old.
0179;Vintage modern oversize rug from Hereke region of Turkey. In very good condition. Approximately 45-55 years old.
0183;Vintage decorative runner rug from Malatya region of Turkey. In very good condition. Approximately 50-60 years old.
0184;Vintage washed out runner rug from Malatya region of Turkey. In good condition. Approximately 55-65 years old.
0188;Vintage decorative runner rug from Nigde region of Turkey. In very good condition. Approximately 40-50 years old.
0189;Vintage runner rug from Isparta region of Turkey. In very good condition. Approximately 40-50 years old.
0196;Vintage handwoven kilim rug from Afyon region of Turkey. In very good condition. Approximately 45-55 years old.
0197;Vintage kilim rug from Konya region of Turkey. In very good condition. Approximately 40-50 years old.
0198;Vintage kilim rug from Mut region of Turkey. In very good condition. Approximately 50-60 years old.
