model;description
1097;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1098;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 45-55 years old.In very good condition.
1099;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
1100;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 50-60 years old.In very good condition.
1101;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1102;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1103;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1104;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 45-55 years old.In very good condition.
1106;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1107;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
1108;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1110;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1111;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
1112;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1113;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 45-55 years old.In very good condition.
1114;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
1115;Handwoven Vintage kilim rug from Kars region of Turkey. Approximately 45-55 years old.In very good condition.
1116;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1117;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1118;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1119;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1120;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1121;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1122;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1124;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1126;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1127;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1128;Handknotted Vintage rug from Oushak region of Turkey. Approximately 45-55 years old.In very good condition.
1129;Handknotted Vintage rug from Oushak region of Turkey. Approximately 50-60 years old.In very good condition.
1131;Handknotted Vintage rug from Bahktiari. Approximately 55-65 years old.In very good condition.
1132;Handwoven Vintage kilim rug from Denizli region of Turkey. Approximately 45-55 years old.In very good condition.
1133;Handwoven Vintage kilim rug from Konya region of Turkey. Approximately 30-40 years old.In very good condition.
1136;Handwoven Vintage kilim rug from Yozgat region of Turkey. Approximately 45-55 years old.In very good condition.
1137;Handwoven Vintage kilim rug from Yozgat region of Turkey. Approximately 45-55 years old.In very good condition.
1142;Handwoven Vintage kilim rug from Denizli region of Turkey. Approximately 45-55 years old.In very good condition.
1143;Handwoven Vintage kilim rug from Van region of Turkey. Approximately 50-60 years old.In very good condition.
1145;Handwoven Vintage kilim rug from Marash region of Turkey. Approximately 55-65 years old.In very good condition.
1146;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 55-65 years old.In very good condition.
1151;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 40-50 years old.In very good condition.
1152;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1153;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1154;Handwoven Vintage kilim rug from Yozgat region of Turkey. Approximately 45-55 years old.In very good condition.
1156;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1157;Handknotted decorative Turkish Oushak rug. In good condition. Rare find, Unique handmade item.
1158;Vintage Turkish decorative rug. In very goood condition. Rare find, Unique handmade item.
1159;Handknotted vintage decortaive Turkish rug. In very good condition. Rare find, Unique handmade item.
1160;Vintage decorative Turkish rug. In very good condition. Rare find, Unique handmade item.
1161;Decorative Turkish Oushak rug. In very good condition. Rare find, Unique handmade item.
1163;Floral designed art deco rug. In very good condition. Rare find, Unique handmade item.
1164;Vintage decorative Turkish rug. In very good condition. Rare find, Unique handmade item.
1165;Handknotted vintage Oushak rug. In very good condition. Rare find, Unique handmade item.
1166;Handknotted vintage Turkish deco rug. In very good condition. Rare find, Unique handmade item.
1167;Vintage Turkish Oushak rug. The small holes will be professionally repair before shipment. In very good condition.
1168;Vintage striped Turkish kelim rug. In very good condition. Rare find, Unique handmade item.
1170;Handwoven striped Turkish kilim rug. In very good condition. Rare find, Unique handmade item.
1176;Vintage handwoven hemp kilim rug from Yozgat region of Turkey. Approximately 50-60 years old. In good condition.
1182;Vintage hemp kilim rug from Yozgat region of Turkey.Approximatelly 50-60 years old. In good condition.
1184;Handwoven vintage striped hemp kilim rug from Yozgat region of Turkey. Approximately 50-60 years old. In very good condition Rare find, Unique handmade item.
1186;Handwoven vintage goat hair kilim rug from Afyon region of Turkey. Approximatelly 45-55 years old. In very good condition.
1187;Handwoven vintage black kilim rug from Afyon region of Turkey. Approximatelly 50-60 years old. In very good condition.
1188;Handwoven vintage goat hair kilim rug from Afyon region of Turkey. Approximatelly 50-60 years old. In very good condition.
1189;Handwoven vintage kilim rug from Afyon region of Turkey. Approximatelly 50-60 years old. In very good condition.
1190;Handwoven vintage runner rug from Kars region of Turkey. Approximatelly 50-60 years old. In good condition.
1191;Vintage striped kilim runner from Afyon region of Turkey.Approximatelly 45-55 years old. In very good condition.
1194;Handwoven striped natural kilim rug. In very good condition. Rare find, Unique handmade item.
1197;Handwoven brown kilim rug. In very good condition. Rare find, Unique handmade item.
1199;Distressed Oushak rug. In very good condition. Rare find, Unique handmade item.
1201;Handwoven black Turkish kilim rug. In very good condition. Rare find, Unique handmade item.
1202;Handwoven vintage gray Turkish kilim rug.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1204;Mid century vintage Persian Tabriz rug. In good condition. Rare find, Unique handmade item.
1205;Handknotted large Persian rug. The small holes will be repair professionally before shipment. In good condition.
1206;Handknotted vintage Persian rug. In good condition. Rare find, Unique handmade item.
1207;Handknotted vintage Persian rug. In very good condition. Rare find, Unique handmade item.
1208;Handknotted mid century Persian rug. In very good condition. Rare find, Unique handmade item.
1212;Handwoven striped kelim rug. In good condition. Rare find, Unique handmade item.
1213;Handwoven large vintage gray Turkish kilim rug. In very good condition. Rare find, Unique handmade item.
1214;Handwoven large gray kilim rug. In very good condition. Rare find, Unique handmade item.
1218;Embroidered vintage large Turkish kilim rug. In very good condition. Rare find, Unique handmade item.
1219;Handwoven large embroidered Turkish kilim rug. In very good condition. Rare find, Unique handmade item.
1220;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1222;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1223;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1224;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1227;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1229;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
1230;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
1231;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old.In very good condition.
123123123;Rare find, Unique handmade item. Only 1 in stock. Free shipping Worldwide.
1233;Handwoven Vintage kilim rug from Afyon region of Turkey. Approximately 45-55 years old.In very good condition.
1234;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1235;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1237;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1239;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1240;Handwoven Vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old.In very good condition.
1253;Handknotted vintage rug from Isparta region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1254;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1256;Handknotted antique persian rug. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1257;Handknotted vintage deco rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1258;Handknotted vintage yellow rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1259;Handknotted vintage yellow rug from Isparta region of Turkey. Approximatelly 45-55 years old. In very good condition Rare find, Unique handmade item.
1260;Handknotted vintage green rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1261;Handknotted vintage deco rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1263;Handknotted yellow rug from Isparta region of Turkey.Approximatelly 45-55 years old. In very good condition Rare find, Unique handmade item.
1264;Handknotted vintage green rug from Isparta region of Turkey. Approximatelly 45-55 years old. In very good condition Rare find, Unique handmade item.
1265;Handknotted red art deco rug from Isparta region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1266;Handknotted vintage deco rug from Isparta region of Turkey. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1267;Handknotted vintage rug from Isparta region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1268;Handknotted vintage rug from Isparta region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1270;Handknotted vintage deco rug from Isparta region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1271;Handwoven vintage kilim rug from Adana region of Turkey. Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1273;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1274;Handknotted vintage rug from Isparta region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1276;Handwoven striped kilim runner rug from Kars region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1277;Handwoven vintage wool kilim rug from Kars region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1278;Handwoven striped kilim rug from Kars region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1279;Vintage runner rug from Kars region of Turkey. In good condition Rare find, Unique handmade item. Only 1 in stock.
1280;Handwoven striped kilim rug from Kars region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1281;Handwoven striped kilim rug from Kars region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1284;Handwoven vintage striped kilim rug from Adana region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1285;Handwoven vintage striped kilim rug from Adana region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1286;Handwoven striped kilim rug from Malatya region of Turkey.Approximatelly 55-65 years old. In good condition Rare find, Unique handmade item.
1287;Handwoven vintage kilim rug from Adana region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1289;Handwoven vintage modern kilim rug from Adana region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1290;Handwoven kilim rug from Adana region of Turkey. Approximatelly 50-60 years old. In good condition Rare find, Unique handmade item.
1291;Handwoven vintage kilim rug from Afyon region of Turkey. Approximatelly 50-60 years old. In good condition Rare find, Unique handmade item.
1292;Handknotted one-of-a-kind Khirgiz rug. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1294;Handwoven kilim runner from Antalya region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1298;Vintage mini rug from Kars region of Turkey. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1299;Handknotted mini rug from Kars region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1300;Handknotted mini rug from Kars region of Turkey.In good condition. Rare find, Unique handmade item.
1301;Handknotted vintage mini rug from Malatya region of Turkey.In very good condition. Rare find, Unique handmade item.
1302;Handknotted mini rug from Kars region of Turkey. In good condition Rare find, Unique handmade item. Only 1 in stock.
1304;Handknotted mini rug from Konya region of Turkey.In good condition. Rare find, Unique handmade item.
1305;Handknotted mini rug from Kars region of Turkey.In good condition. Rare find, Unique handmade item.
1306;Handknotted mini rug from Oushak region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1307;Handknotted mini rug from Kars region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1308;Vintage mini rug from Konya region of Turkey.In good condition. Rare find, Unique handmade item.
1309;Handknotted mini rug from Kars region of Turkey. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1310;Vintage mini rug from Oushak region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1311;Handknotted mini rug from Konya region of Turkey.In very good condition. Rare find, Unique handmade item.
1312;Handwoven vintage mini kilim rug from Malatya region of Turkey. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1313;Handknotted mini rug from Kars region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1314;Vintage mini rug from Oushak region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1315;Handknotted vintage mini rug from Oushak region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1316;Handknotted mini rug from Oushak region of Turkey.In very good condition. Rare find, Unique handmade item.
1317;Handknotted mini rug from Kars region of Turkey.In very good condition. Rare find, Unique handmade item.
1318;Handknotted mini rug from Oushak region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1319;Vintage mini rug from Oushak region of Turkey. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1320;Handwoven mini kilim rug from Malatya region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1321;Handknotted vintage mini rug from Kars region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1323;Handknotted mini rug from Malatya region of Turkey.Approximatelly 50-60 years old. In good condition.
1324;Handwoven mini kilim rug from Malatya region of Turkey.In good condition Rare find, Unique handmade item. Only 1 in stock.
1326;Handwoven mini kilim rug from Malatya region of Turkey. In very good condition.Approximatelly 45-55 years old.
1327;Handwoven striped kilim rug from Malatya region of Turkey.Approximatelly 45-55 years old.In very good condition.
1328;Handwoven mini kilim rug from Malatya region of Turkey.In good condition. Approximatelly 50-60 years old.
1331;Handknotted vintage mini rug from Oushak region of Turkey. Approximatelly 50-60 years old. In very good condition.
1332;Handwoven mini kilim rug from Malatya region of Turkey.Approximatelly 50-60 years old. In good condition.
1335;Handwoven mini kilim rug from Malatya region of Turkey.Approximatelly 45-55 years old. In good condition Rare find, Unique handmade item.
1336;Handknotted mini rug from Malatya region of Turkey. Approximatelly 50-60 years old. In good condition.
1338;Handwoven decorative kilim rug from Adana region of Turkey.Approximatelly 45-55 years old. In very good condition Rare find, Unique handmade item.
1339;Handwoven striped kilim rug from Afyon region of Turkey.In very good condition.Approximatelly 50-60 years old.
1340;Handwoven black kilim rug from Afyon region of Turkey.Approximatelly 50-60 years old. In very good condition.
1341;Vintage embroidered black kilim rug from Afyon region of Turkey.In very good condition. Approximatelly 50-60 years old.
1342;Handknotted unique rug from Kars region of Turkey.Approximatelly 45-55 years old. In very good condition.
1343;Handknotted vintage small rug from Oushak region of Turkey. Approximatelly 50-60 years old. In good condition Rare find, Unique handmade item.
1344;Handwoven embroidered kilim rug from Malatya region of Turkey.In very good condition.Approximatelly 50-60 years old.
1345;Handwoven embroidered kilim rug from Denizli region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1346;Handwoven vintage kilim runner rug from Afyon region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1347;Handwoven vintage kilim rug from Denizli region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1348;Handwoven vintage kilim rug from Denizli region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1349;Handwoven embroidered kilim rug from Denizli region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1350;Handwoven vintage kilim rug from Malatya region of Turkey. Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1351;Handwoven vintage kilim rug from Denizli region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1352;Handwoven vintage kilim rug from Denizli region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1353;Handwoven striped kilim rug from Denizli region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1356;Handknotted vintage runner from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1358;Handknotted vintage runner rug from Isparta region of Turkey.Approximatelly 50-60 years old.In good condition Rare find, Unique handmade item.
1359;Handknotted mini Persian Tabriz rug.Approximatelly 55-65 years old.In very good condition Rare find, Unique handmade item.
1360;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1361;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1363;Handknotted worn out rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1364;Handknotted vintage rug from Isparta region of Turkey. Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1366;Handknotted vintage decorative rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1368;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1371;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old Rare find, Unique handmade item. Only 1 in stock.
1372;Handknotted vintage green rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1374;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1375;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1376;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1379;Handknotted vintage decorative rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1381;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1382;Handknotted yellow rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1383;Handknotted vintage Persian Tabriz rug.Approximatelly 45-55 years old. In good condition (The hole will be professionally repair before shipment) Rare find, Unique handmade item.
1384;Handknotted vintage deco rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1385;Handknotted vintage runner rug from Oushak region of Turkey.Approximatelly 45-55 years old. In very good condition Rare find, Unique handmade item.
1386;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 55-65 years old. In very good condition Rare find, Unique handmade item.
1388;Handknotted vintage runner rug from Isparta region of Turkey.approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1389;Handknotted vintage deco rug from Isparta region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1390;Handknotted neutral vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1392;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 55-65 years old.In very good condition Rare find, Unique handmade item.
1393;Handknotted vintage green rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1394;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old. In good condition Rare find, Unique handmade item.
1395;Handknotted worn out runner rug from Konya region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1396;Handknotted vintage runner rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1397;Handknotted vintage deco rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1398;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1399;Handknotted vintage deco rug from Isparta region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1400;Handknotted unique rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1403;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1405;Hnadknotted antique Persian Malayer rug. In very good condition Rare find, Unique handmade item. Only 1 in stock.
1406;Handknotted distressed rug from Oushak region of Turkey. Approximatelly 50-60 years old.In good condition.
1407;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1408;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1410;Handknotted vintage deco rug from Isparta region of Turkey. Approximatelly 50-60 years old.In good condition Rare find, Unique handmade item.
1412;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 45-55 years old.In good condition Rare find, Unique handmade item.
1413;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1414;Handknotted vintage rug from Oushak region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1415;Handknotted vintage rug from Konya region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1416;Handknotted decorative rug from Isparta region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1418;Handknotted vintage one of a kind rug from Konya region of Turkey.Approximatelly 50-60 years old.In very good condition.
1419;Handknotted vintage rug from Konya region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1421;Handknotted vintage rug from Isparta region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1422;Vintage runner rug from Oushak region of Turkey.In very good condition.Approximatelly 45-55 years old Rare find, Unique handmade item.
1424;Handknotted vintage runner rug from Oushak region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1425;Handknotted vintage runner rug from Oushak region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1426;Handknotted vintage runner rug from Oushak region of Turkey.Approximatelly 45-55 years old. In very good condition Rare find, Unique handmade item.
1427;Handwoven black kilim rug from Afyon region of Turkey.Approximatelly 45-55 years old.In very good condition Rare find, Unique handmade item.
1428;Handwoven black kilim rug from Afyon region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1429;Handwoven vintage kilim rug from Afyon region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1431;Handwoven black modern kilim rug from Afyon region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1432;Handknotted pastel runner rug from Konya region of Turkey.In very good condition.Approximatelly 50-60 years old Rare find, Unique handmade item.
1433;Handknotted vintage runner rug from Isparta region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1434;Washed out runner rug from Isparta region of Turkey. Approximatelly 50-60 years old. In very goood condition Rare find, Unique handmade item.
1435;Handknotted vintage large Oushak rug. Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1438;Decorative vintage rug from Kars region of Turkey. In very good condition. Rare find, Unique handmade item.
1439;Vintage handknotted washed out rug from Konya region of Turkey.Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1440;Handknotted vintage runner rug from Kars region of Turkey. Approximatelly 55-65 years old. In very good condition Rare find, Unique handmade item.
1441;Handwoven large natural kilim rug from Afyon region of Turkey.Approximatelly 55-65 years old. In very good condition.
1442;Handknotted vintage Kars rug. Aprroximatelly 20-30 years old. In very good condition.
1443;Large purple overdyed rug from Kars region of Turkey.Aproximatelly 55-65 years old. In very good condition Rare find, Unique handmade item.
1444;Handwoven kilim rug from Afyon region of Turkey.Aproximatelly 50-60 years old. In very good condition.
1445;Handknotted decorative rug from Oushak region of Turkey. Aproximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1447;Large vintage kilim rug from Bayburt region of Turkey. In very good condition. Approximatelly 45-55 years old.
1448;Handknotted vintage rug from Oushak region of Turkey.In very good condition Rare find, Unique handmade item. Only 1 in stock.
1455;Handknotted vintage large rug from Oushak region of Turkey. Approximatelly 55-65 years old. In very good condition.
1457;Large washed out rug from Kars region of Turkey.Approximatelly 50-60 years old.In very good condition Rare find, Unique handmade item.
1460;Red ground all over designed vintage Persian Tabriz rug. Approximatelly 50-60 years old. In very good condition Rare find, Unique handmade item.
1462;Striped large kilim rug. Backed with good quality cotton fabric as a reinforcement. Rare find, Unique handmade item.
1464;Large vintage Turkish kilim rug. Backed with good quality cotton fabric as reinforcement.In very good condition Rare find, Unique handmade item.
1466;Handwoven striped rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1467;Vintage striped handwoven rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1468;Handwoven unique large rag rug from Afyon region of Turkey.Approximately 40-50 years old.In very good condition Rare find, Unique handmade item.
1469;Handwoven vintage striped rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1470;Handwoven vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1472;Vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1473;Handwoven vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1474;Striped rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1476;Striped rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1477;Handwoven vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1478;Handwoven vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1479;Striped vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1480;Vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1481;Vintage rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1482;Vintage striped rag rug from Afyon region of Turkey.Approximately 35-45 years old.In very good condition Rare find, Unique handmade item.
1483;Handwoven unique kilim rug from Afyon region of Turkey.Approximately 50-60 years old.In very good condition Rare find, Unique handmade item.
1484;Handwoven vintage kilim rug from Afyon region of Turkey.Approximately 50-60 years old.In very good condition Rare find, Unique handmade item.
1485;Handwoven vintage kilim rug from Afyon region of Turkey.Approximately 50-60 years old Rare find, Unique handmade item. Only 1 in stock.
1486;Handwoven vintage kilim rug from Afyon region of Turkey.Approximately 45-55 years old.In very good condition Rare find, Unique handmade item.
1488;Handwoven vintage brown kilim rug from Afyon region of Turkey.Approximately 50-60 years old. In very good condition Rare find, Unique handmade item.
1489;Handwoven vintage kilim rug from Afyon region of Turkey.Approximately 45-55 years old.In very good condition Rare find, Unique handmade item.
1490;Vintage large kilim rug from Afyon region of Turkey.Approximately 60-70 years old.In good condition Rare find, Unique handmade item.
